LAUS,state,county,County Name/State Abbreviation,Year,force,employed,unemployed,unemployment
CN3904300000000,39,43,"Erie County, OH",2011,39703,35929,3774,9.5
CN3904500000000,39,45,"Fairfield County, OH",2011,73783,67835,5948,8.1
CN3904700000000,39,47,"Fayette County, OH",2011,14326,12823,1503,10.5
CN3904900000000,39,49,"Franklin County, OH",2011,625753,577243,48510,7.8
CN3905100000000,39,51,"Fulton County, OH",2011,22571,20402,2169,9.6
CN3905300000000,39,53,"Gallia County, OH",2011,12996,11542,1454,11.2
CN3905500000000,39,55,"Geauga County, OH",2011,49369,46384,2985,6
CN3905700000000,39,57,"Greene County, OH",2011,81574,74846,6728,8.2
CN3905900000000,39,59,"Guernsey County, OH",2011,18421,16432,1989,10.8
CN3906100000000,39,61,"Hamilton County, OH",2011,406356,370436,35920,8.8
CN3906300000000,39,63,"Hancock County, OH",2011,39966,36861,3105,7.8
CN3906500000000,39,65,"Hardin County, OH",2011,15059,13626,1433,9.5
CN3906700000000,39,67,"Harrison County, OH",2011,7005,6261,744,10.6
CN3906900000000,39,69,"Henry County, OH",2011,14356,12821,1535,10.7
CN3907100000000,39,71,"Highland County, OH",2011,18056,15633,2423,13.4
CN3907300000000,39,73,"Hocking County, OH",2011,13765,12397,1368,9.9
CN3907500000000,39,75,"Holmes County, OH",2011,19537,18306,1231,6.3
CN3907700000000,39,77,"Huron County, OH",2011,29621,26259,3362,11.4
CN3907900000000,39,79,"Jackson County, OH",2011,13927,12280,1647,11.8
CN3908100000000,39,81,"Jefferson County, OH",2011,31907,28081,3826,12
CN3908300000000,39,83,"Knox County, OH",2011,30418,27767,2651,8.7
CN3908500000000,39,85,"Lake County, OH",2011,127021,118337,8684,6.8
CN3908700000000,39,87,"Lawrence County, OH",2011,27017,24452,2565,9.5
CN3908900000000,39,89,"Licking County, OH",2011,86585,79337,7248,8.4
CN3909100000000,39,91,"Logan County, OH",2011,22784,20566,2218,9.7
CN3909300000000,39,93,"Lorain County, OH",2011,151886,139980,11906,7.8
CN3909500000000,39,95,"Lucas County, OH",2011,212751,191763,20988,9.9
CN3909700000000,39,97,"Madison County, OH",2011,20276,18673,1603,7.9
CN3909900000000,39,99,"Mahoning County, OH",2011,112624,101590,11034,9.8
CN3910100000000,39,101,"Marion County, OH",2011,29501,26591,2910,9.9
CN3910300000000,39,103,"Medina County, OH",2011,95163,89095,6068,6.4
CN3910500000000,39,105,"Meigs County, OH",2011,9785,8502,1283,13.1
CN3910700000000,39,107,"Mercer County, OH",2011,22122,20628,1494,6.8
CN3910900000000,39,109,"Miami County, OH",2011,53318,48455,4863,9.1
CN3911100000000,39,111,"Monroe County, OH",2011,6579,5932,647,9.8
CN3911300000000,39,113,"Montgomery County, OH",2011,259391,234202,25189,9.7
CN3911500000000,39,115,"Morgan County, OH",2011,6768,6000,768,11.3
CN3911700000000,39,117,"Morrow County, OH",2011,17091,15361,1730,10.1
CN3911900000000,39,119,"Muskingum County, OH",2011,41192,36712,4480,10.9
CN3912100000000,39,121,"Noble County, OH",2011,4974,4311,663,13.3
CN3912300000000,39,123,"Ottawa County, OH",2011,22410,19934,2476,11
CN3912500000000,39,125,"Paulding County, OH",2011,9430,8512,918,9.7
CN3912700000000,39,127,"Perry County, OH",2011,16378,14485,1893,11.6
CN3912900000000,39,129,"Pickaway County, OH",2011,25809,23442,2367,9.2
CN3913100000000,39,131,"Pike County, OH",2011,11001,9332,1669,15.2
CN3913300000000,39,133,"Portage County, OH",2011,89145,81246,7899,8.9
CN3913500000000,39,135,"Preble County, OH",2011,21665,19596,2069,9.5
CN3913700000000,39,137,"Putnam County, OH",2011,19198,17772,1426,7.4
CN3913900000000,39,139,"Richland County, OH",2011,57968,51826,6142,10.6
CN3914100000000,39,141,"Ross County, OH",2011,34216,30817,3399,9.9
CN3914300000000,39,143,"Sandusky County, OH",2011,32627,29644,2983,9.1
CN3914500000000,39,145,"Scioto County, OH",2011,31738,27769,3969,12.5
CN3914700000000,39,147,"Seneca County, OH",2011,28722,25960,2762,9.6
CN3914900000000,39,149,"Shelby County, OH",2011,24168,21837,2331,9.6
CN3915100000000,39,151,"Stark County, OH",2011,188690,171099,17591,9.3
CN3915300000000,39,153,"Summit County, OH",2011,275855,250799,25056,9.1
CN3915500000000,39,155,"Trumbull County, OH",2011,97155,86802,10353,10.7
CN3915700000000,39,157,"Tuscarawas County, OH",2011,45281,41079,4202,9.3
CN3915900000000,39,159,"Union County, OH",2011,26653,24741,1912,7.2
CN3916100000000,39,161,"Van Wert County, OH",2011,14498,13153,1345,9.3
CN3916300000000,39,163,"Vinton County, OH",2011,5717,5037,680,11.9
CN3916500000000,39,165,"Warren County, OH",2011,109330,100699,8631,7.9
CN3916700000000,39,167,"Washington County, OH",2011,28966,26053,2913,10.1
CN3916900000000,39,169,"Wayne County, OH",2011,59028,54508,4520,7.7
CN3917100000000,39,171,"Williams County, OH",2011,18875,16850,2025,10.7
CN3917300000000,39,173,"Wood County, OH",2011,68178,62529,5649,8.3
CN3917500000000,39,175,"Wyandot County, OH",2011,12085,10973,1112,9.2
CN4000100000000,40,1,"Adair County, OK",2011,8806,8038,768,8.7
CN4000300000000,40,3,"Alfalfa County, OK",2011,2552,2453,99,3.9
CN4000500000000,40,5,"Atoka County, OK",2011,4991,4585,406,8.1
CN4000700000000,40,7,"Beaver County, OK",2011,2946,2845,101,3.4
CN4000900000000,40,9,"Beckham County, OK",2011,11313,10916,397,3.5
CN4001100000000,40,11,"Blaine County, OK",2011,4342,4122,220,5.1
CN4001300000000,40,13,"Bryan County, OK",2011,17454,16469,985,5.6
CN4001500000000,40,15,"Caddo County, OK",2011,11576,10794,782,6.8
CN4001700000000,40,17,"Canadian County, OK",2011,61377,58821,2556,4.2
CN4001900000000,40,19,"Carter County, OK",2011,21580,20262,1318,6.1
CN4002100000000,40,21,"Cherokee County, OK",2011,19164,17833,1331,6.9
CN4002300000000,40,23,"Choctaw County, OK",2011,6000,5485,515,8.6
CN4002500000000,40,25,"Cimarron County, OK",2011,1369,1325,44,3.2
CN4002700000000,40,27,"Cleveland County, OK",2011,132862,127115,5747,4.3
CN4002900000000,40,29,"Coal County, OK",2011,2342,2154,188,8
CN4003100000000,40,31,"Comanche County, OK",2011,50541,47782,2759,5.5
CN4003300000000,40,33,"Cotton County, OK",2011,2905,2737,168,5.8
CN4003500000000,40,35,"Craig County, OK",2011,6327,5947,380,6
CN4003700000000,40,37,"Creek County, OK",2011,31174,29101,2073,6.6
CN4003900000000,40,39,"Custer County, OK",2011,15148,14569,579,3.8
CN4004100000000,40,41,"Delaware County, OK",2011,17255,16078,1177,6.8
CN4004300000000,40,43,"Dewey County, OK",2011,2465,2374,91,3.7
CN4004500000000,40,45,"Ellis County, OK",2011,2109,2033,76,3.6
CN4004700000000,40,47,"Garfield County, OK",2011,28754,27543,1211,4.2
CN4004900000000,40,49,"Garvin County, OK",2011,12169,11493,676,5.6
CN4005100000000,40,51,"Grady County, OK",2011,25204,23940,1264,5
CN4005300000000,40,53,"Grant County, OK",2011,2540,2450,90,3.5
CN4005500000000,40,55,"Greer County, OK",2011,2137,2008,129,6
CN4005700000000,40,57,"Harmon County, OK",2011,1315,1248,67,5.1
CN4005900000000,40,59,"Harper County, OK",2011,1866,1800,66,3.5
CN4006100000000,40,61,"Haskell County, OK",2011,4658,4262,396,8.5
CN4006300000000,40,63,"Hughes County, OK",2011,5447,4961,486,8.9
CN4006500000000,40,65,"Jackson County, OK",2011,11316,10726,590,5.2
CN4006700000000,40,67,"Jefferson County, OK",2011,2650,2496,154,5.8
CN4006900000000,40,69,"Johnston County, OK",2011,3699,3397,302,8.2
CN4007100000000,40,71,"Kay County, OK",2011,20559,19040,1519,7.4
CN4007300000000,40,73,"Kingfisher County, OK",2011,7564,7285,279,3.7
CN4007500000000,40,75,"Kiowa County, OK",2011,4255,4047,208,4.9
CN4007700000000,40,77,"Latimer County, OK",2011,4412,3994,418,9.5
CN4007900000000,40,79,"Le Flore County, OK",2011,20026,18338,1688,8.4
CN4008100000000,40,81,"Lincoln County, OK",2011,15458,14657,801,5.2
CN4008300000000,40,83,"Logan County, OK",2011,20160,19226,934,4.6
CN4008500000000,40,85,"Love County, OK",2011,4902,4667,235,4.8
CN4008700000000,40,87,"McClain County, OK",2011,17213,16440,773,4.5
CN4008900000000,40,89,"McCurtain County, OK",2011,14676,13245,1431,9.8
CN4009100000000,40,91,"McIntosh County, OK",2011,7355,6610,745,10.1
CN4009300000000,40,93,"Major County, OK",2011,4043,3889,154,3.8
CN4009500000000,40,95,"Marshall County, OK",2011,6665,6284,381,5.7
CN4009700000000,40,97,"Mayes County, OK",2011,18068,16766,1302,7.2
CN4009900000000,40,99,"Murray County, OK",2011,6467,6164,303,4.7
CN4010100000000,40,101,"Muskogee County, OK",2011,29772,27677,2095,7
CN4010300000000,40,103,"Noble County, OK",2011,5328,5066,262,4.9
CN4010500000000,40,105,"Nowata County, OK",2011,4886,4517,369,7.6
CN4010700000000,40,107,"Okfuskee County, OK",2011,4399,4041,358,8.1
CN4010900000000,40,109,"Oklahoma County, OK",2011,356348,338412,17936,5
CN4011100000000,40,111,"Okmulgee County, OK",2011,16460,15043,1417,8.6
CN4011300000000,40,113,"Osage County, OK",2011,21186,19822,1364,6.4
CN4011500000000,40,115,"Ottawa County, OK",2011,14260,13233,1027,7.2
CN4011700000000,40,117,"Pawnee County, OK",2011,7571,7009,562,7.4
CN4011900000000,40,119,"Payne County, OK",2011,36728,34985,1743,4.7
CN4012100000000,40,121,"Pittsburg County, OK",2011,18979,17651,1328,7
CN4012300000000,40,123,"Pontotoc County, OK",2011,18073,17140,933,5.2
CN4012500000000,40,125,"Pottawatomie County, OK",2011,31266,29488,1778,5.7
CN4012700000000,40,127,"Pushmataha County, OK",2011,4932,4523,409,8.3
CN4012900000000,40,129,"Roger Mills County, OK",2011,1899,1841,58,3.1
CN4013100000000,40,131,"Rogers County, OK",2011,42932,40590,2342,5.5
CN4013300000000,40,133,"Seminole County, OK",2011,9930,9143,787,7.9
CN4013500000000,40,135,"Sequoyah County, OK",2011,17382,15870,1512,8.7
CN4013700000000,40,137,"Stephens County, OK",2011,20341,19212,1129,5.6
CN4013900000000,40,139,"Texas County, OK",2011,8817,8447,370,4.2
CN4014100000000,40,141,"Tillman County, OK",2011,3345,3159,186,5.6
CN4014300000000,40,143,"Tulsa County, OK",2011,303026,285623,17403,5.7
CN4014500000000,40,145,"Wagoner County, OK",2011,35022,33066,1956,5.6
CN4014700000000,40,147,"Washington County, OK",2011,24130,22812,1318,5.5
CN4014900000000,40,149,"Washita County, OK",2011,5499,5264,235,4.3
CN4015100000000,40,151,"Woods County, OK",2011,4481,4335,146,3.3
CN4015300000000,40,153,"Woodward County, OK",2011,9895,9456,439,4.4
CN4100100000000,41,1,"Baker County, OR",2011,7326,6523,803,11
CN4100300000000,41,3,"Benton County, OR",2011,45986,43019,2967,6.5
CN4100500000000,41,5,"Clackamas County, OR",2011,204322,186042,18280,8.9
CN4100700000000,41,7,"Clatsop County, OR",2011,19057,17242,1815,9.5
CN4100900000000,41,9,"Columbia County, OR",2011,23600,20905,2695,11.4
CN4101100000000,41,11,"Coos County, OR",2011,28003,24725,3278,11.7
CN4101300000000,41,13,"Crook County, OR",2011,9465,8101,1364,14.4
CN4101500000000,41,15,"Curry County, OR",2011,9225,8105,1120,12.1
CN4101700000000,41,17,"Deschutes County, OR",2011,80665,70653,10012,12.4
CN4101900000000,41,19,"Douglas County, OR",2011,47551,41451,6100,12.8
CN4102100000000,41,21,"Gilliam County, OR",2011,974,879,95,9.8
CN4102300000000,41,23,"Grant County, OR",2011,3426,2949,477,13.9
CN4102500000000,41,25,"Harney County, OR",2011,3731,3230,501,13.4
CN4102700000000,41,27,"Hood River County, OR",2011,14343,13194,1149,8
CN4102900000000,41,29,"Jackson County, OR",2011,100599,88691,11908,11.8
CN4103100000000,41,31,"Jefferson County, OR",2011,9612,8375,1237,12.9
CN4103300000000,41,33,"Josephine County, OR",2011,34537,30132,4405,12.8
CN4103500000000,41,35,"Klamath County, OR",2011,31331,27532,3799,12.1
CN4103700000000,41,37,"Lake County, OR",2011,3758,3260,498,13.3
CN4103900000000,41,39,"Lane County, OR",2011,177663,160310,17353,9.8
CN4104100000000,41,41,"Lincoln County, OR",2011,21966,19649,2317,10.5
CN4104300000000,41,43,"Linn County, OR",2011,56710,50195,6515,11.5
CN4104500000000,41,45,"Malheur County, OR",2011,13385,12111,1274,9.5
CN4104700000000,41,47,"Marion County, OR",2011,154728,138373,16355,10.6
CN4104900000000,41,49,"Morrow County, OR",2011,5798,5316,482,8.3
CN4105100000000,41,51,"Multnomah County, OR",2011,425218,389284,35934,8.5
CN4105300000000,41,53,"Polk County, OR",2011,36331,32928,3403,9.4
CN4105500000000,41,55,"Sherman County, OR",2011,921,818,103,11.2
CN4105700000000,41,57,"Tillamook County, OR",2011,11661,10492,1169,10
CN4105900000000,41,59,"Umatilla County, OR",2011,37422,33817,3605,9.6
CN4106100000000,41,61,"Union County, OR",2011,12471,11215,1256,10.1
CN4106300000000,41,63,"Wallowa County, OR",2011,3492,3061,431,12.3
CN4106500000000,41,65,"Wasco County, OR",2011,13916,12677,1239,8.9
CN4106700000000,41,67,"Washington County, OR",2011,294534,271637,22897,7.8
CN4106900000000,41,69,"Wheeler County, OR",2011,768,702,66,8.6
CN4107100000000,41,71,"Yamhill County, OR",2011,51439,46666,4773,9.3
CN4200100000000,42,1,"Adams County, PA",2011,53982,50453,3529,6.5
CN4200300000000,42,3,"Allegheny County, PA",2011,641826,597224,44602,6.9
CN4200500000000,42,5,"Armstrong County, PA",2011,33560,30864,2696,8
CN4200700000000,42,7,"Beaver County, PA",2011,85754,79183,6571,7.7
CN4200900000000,42,9,"Bedford County, PA",2011,24910,22697,2213,8.9
CN4201100000000,42,11,"Berks County, PA",2011,209653,193517,16136,7.7
CN4201300000000,42,13,"Blair County, PA",2011,61398,57020,4378,7.1
CN4201500000000,42,15,"Bradford County, PA",2011,31954,29932,2022,6.3
CN4201700000000,42,17,"Bucks County, PA",2011,335647,311668,23979,7.1
CN4201900000000,42,19,"Butler County, PA",2011,96463,90171,6292,6.5
CN4202100000000,42,21,"Cambria County, PA",2011,66038,60407,5631,8.5
CN4202300000000,42,23,"Cameron County, PA",2011,2503,2241,262,10.5
CN4202500000000,42,25,"Carbon County, PA",2011,31792,28667,3125,9.8
CN4202700000000,42,27,"Centre County, PA",2011,77275,73171,4104,5.3
CN4202900000000,42,29,"Chester County, PA",2011,269597,254367,15230,5.6
CN4203100000000,42,31,"Clarion County, PA",2011,19058,17202,1856,9.7
CN4203300000000,42,33,"Clearfield County, PA",2011,37962,34462,3500,9.2
CN4203500000000,42,35,"Clinton County, PA",2011,19136,17569,1567,8.2
CN4203700000000,42,37,"Columbia County, PA",2011,34709,31768,2941,8.5
CN4203900000000,42,39,"Crawford County, PA",2011,41438,38193,3245,7.8
CN4204100000000,42,41,"Cumberland County, PA",2011,124189,116484,7705,6.2
CN4204300000000,42,43,"Dauphin County, PA",2011,140192,129789,10403,7.4
CN4204500000000,42,45,"Delaware County, PA",2011,286263,264559,21704,7.6
CN4204700000000,42,47,"Elk County, PA",2011,16833,15615,1218,7.2
CN4204900000000,42,49,"Erie County, PA",2011,136975,126053,10922,8
CN4205100000000,42,51,"Fayette County, PA",2011,59530,53657,5873,9.9
CN4205300000000,42,53,"Forest County, PA",2011,2030,1842,188,9.3
CN4205500000000,42,55,"Franklin County, PA",2011,75388,69972,5416,7.2
CN4205700000000,42,57,"Fulton County, PA",2011,7333,6607,726,9.9
CN4205900000000,42,59,"Greene County, PA",2011,18155,16796,1359,7.5
CN4206100000000,42,61,"Huntingdon County, PA",2011,20953,18879,2074,9.9
CN4206300000000,42,63,"Indiana County, PA",2011,43940,40556,3384,7.7
CN4206500000000,42,65,"Jefferson County, PA",2011,21743,19882,1861,8.6
CN4206700000000,42,67,"Juniata County, PA",2011,11987,11122,865,7.2
CN4206900000000,42,69,"Lackawanna County, PA",2011,107016,97780,9236,8.6
CN4207100000000,42,71,"Lancaster County, PA",2011,265492,247641,17851,6.7
CN4207300000000,42,73,"Lawrence County, PA",2011,42945,39420,3525,8.2
CN4207500000000,42,75,"Lebanon County, PA",2011,69709,64980,4729,6.8
CN4207700000000,42,77,"Lehigh County, PA",2011,179080,163922,15158,8.5
CN4207900000000,42,79,"Luzerne County, PA",2011,159444,144450,14994,9.4
CN4208100000000,42,81,"Lycoming County, PA",2011,60963,56344,4619,7.6
CN4208300000000,42,83,"McKean County, PA",2011,20067,18350,1717,8.6
CN4208500000000,42,85,"Mercer County, PA",2011,53227,49126,4101,7.7
CN4208700000000,42,87,"Mifflin County, PA",2011,20952,19122,1830,8.7
CN4208900000000,42,89,"Monroe County, PA",2011,81997,74214,7783,9.5
CN4209100000000,42,91,"Montgomery County, PA",2011,429511,402275,27236,6.3
CN4209300000000,42,93,"Montour County, PA",2011,9175,8614,561,6.1
CN4209500000000,42,95,"Northampton County, PA",2011,152320,140012,12308,8.1
CN4209700000000,42,97,"Northumberland County, PA",2011,44850,40820,4030,9
CN4209900000000,42,99,"Perry County, PA",2011,24668,22887,1781,7.2
CN4210100000000,42,101,"Philadelphia County/city, PA",2011,689005,616991,72014,10.5
CN4210300000000,42,103,"Pike County, PA",2011,26040,23515,2525,9.7
CN4210500000000,42,105,"Potter County, PA",2011,7815,7115,700,9
CN4210700000000,42,107,"Schuylkill County, PA",2011,69888,63197,6691,9.6
CN4210900000000,42,109,"Snyder County, PA",2011,19769,18281,1488,7.5
CN4211100000000,42,111,"Somerset County, PA",2011,36857,33641,3216,8.7
CN4211300000000,42,113,"Sullivan County, PA",2011,3034,2817,217,7.2
CN4211500000000,42,115,"Susquehanna County, PA",2011,21884,20178,1706,7.8
CN4211700000000,42,117,"Tioga County, PA",2011,21153,19704,1449,6.9
CN4211900000000,42,119,"Union County, PA",2011,19026,17768,1258,6.6
CN4212100000000,42,121,"Venango County, PA",2011,26344,24439,1905,7.2
CN4212300000000,42,123,"Warren County, PA",2011,20403,18904,1499,7.3
CN4212500000000,42,125,"Washington County, PA",2011,105684,98073,7611,7.2
CN4212700000000,42,127,"Wayne County, PA",2011,23227,21384,1843,7.9
CN4212900000000,42,129,"Westmoreland County, PA",2011,185548,171833,13715,7.4
CN4213100000000,42,131,"Wyoming County, PA",2011,14296,13065,1231,8.6
CN4213300000000,42,133,"York County, PA",2011,230193,213294,16899,7.3
CN4400100000000,44,1,"Bristol County, RI",2011,26383,23852,2531,9.6
CN4400300000000,44,3,"Kent County, RI",2011,93057,83176,9881,10.6
CN4400500000000,44,5,"Newport County, RI",2011,44606,40127,4479,10
CN4400700000000,44,7,"Providence County, RI",2011,327303,289337,37966,11.6
CN4400900000000,44,9,"Washington County, RI",2011,70715,63618,7097,10
CN4500100000000,45,1,"Abbeville County, SC",2011,10825,9493,1332,12.3
CN4500300000000,45,3,"Aiken County, SC",2011,73635,66901,6734,9.1
CN4500500000000,45,5,"Allendale County, SC",2011,3290,2693,597,18.1
CN4500700000000,45,7,"Anderson County, SC",2011,86285,77496,8789,10.2
CN4500900000000,45,9,"Bamberg County, SC",2011,6338,5322,1016,16
CN4501100000000,45,11,"Barnwell County, SC",2011,9237,7848,1389,15
CN4501300000000,45,13,"Beaufort County, SC",2011,65765,60131,5634,8.6
CN4501500000000,45,15,"Berkeley County, SC",2011,86190,78035,8155,9.5
CN4501700000000,45,17,"Calhoun County, SC",2011,7123,6252,871,12.2
CN4501900000000,45,19,"Charleston County, SC",2011,183865,168779,15086,8.2
CN4502100000000,45,21,"Cherokee County, SC",2011,23736,20283,3453,14.5
CN4502300000000,45,23,"Chester County, SC",2011,14462,11985,2477,17.1
CN4502500000000,45,25,"Chesterfield County, SC",2011,21251,18553,2698,12.7
CN4502700000000,45,27,"Clarendon County, SC",2011,13693,11731,1962,14.3
CN4502900000000,45,29,"Colleton County, SC",2011,16727,14394,2333,13.9
CN4503100000000,45,31,"Darlington County, SC",2011,30575,26675,3900,12.8
CN4503300000000,45,33,"Dillon County, SC",2011,13705,11564,2141,15.6
CN4503500000000,45,35,"Dorchester County, SC",2011,67330,61361,5969,8.9
CN4503700000000,45,37,"Edgefield County, SC",2011,10962,9888,1074,9.8
CN4503900000000,45,39,"Fairfield County, SC",2011,10588,9070,1518,14.3
CN4504100000000,45,41,"Florence County, SC",2011,64700,57539,7161,11.1
CN4504300000000,45,43,"Georgetown County, SC",2011,25634,22194,3440,13.4
CN4504500000000,45,45,"Greenville County, SC",2011,225288,206016,19272,8.6
CN4504700000000,45,47,"Greenwood County, SC",2011,32178,28573,3605,11.2
CN4504900000000,45,49,"Hampton County, SC",2011,8670,7561,1109,12.8
CN4505100000000,45,51,"Horry County, SC",2011,132897,117260,15637,11.8
CN4505300000000,45,53,"Jasper County, SC",2011,11041,9962,1079,9.8
CN4505500000000,45,55,"Kershaw County, SC",2011,28313,25224,3089,10.9
CN4505700000000,45,57,"Lancaster County, SC",2011,34292,29777,4515,13.2
CN4505900000000,45,59,"Laurens County, SC",2011,30490,26983,3507,11.5
CN4506100000000,45,61,"Lee County, SC",2011,6905,5800,1105,16
CN4506300000000,45,63,"Lexington County, SC",2011,134996,124359,10637,7.9
CN4506500000000,45,65,"McCormick County, SC",2011,3647,3156,491,13.5
CN4506700000000,45,67,"Marion County, SC",2011,14213,11724,2489,17.5
CN4506900000000,45,69,"Marlboro County, SC",2011,10781,8683,2098,19.5
CN4507100000000,45,71,"Newberry County, SC",2011,18660,16752,1908,10.2
CN4507300000000,45,73,"Oconee County, SC",2011,33425,30114,3311,9.9
CN4507500000000,45,75,"Orangeburg County, SC",2011,40384,34079,6305,15.6
CN4507700000000,45,77,"Pickens County, SC",2011,54987,49620,5367,9.8
CN4507900000000,45,79,"Richland County, SC",2011,187224,170293,16931,9
CN4508100000000,45,81,"Saluda County, SC",2011,8712,7872,840,9.6
CN4508300000000,45,83,"Spartanburg County, SC",2011,133878,119426,14452,10.8
CN4508500000000,45,85,"Sumter County, SC",2011,45003,39640,5363,11.9
CN4508700000000,45,87,"Union County, SC",2011,12277,10333,1944,15.8
CN4508900000000,45,89,"Williamsburg County, SC",2011,13473,11251,2222,16.5
CN4509100000000,45,91,"York County, SC",2011,117525,104847,12678,10.8
CN4600300000000,46,3,"Aurora County, SD",2011,1685,1634,51,3
CN4600500000000,46,5,"Beadle County, SD",2011,9594,9241,353,3.7
CN4600700000000,46,7,"Bennett County, SD",2011,1190,1106,84,7.1
CN4600900000000,46,9,"Bon Homme County, SD",2011,3149,2997,152,4.8
CN4601100000000,46,11,"Brookings County, SD",2011,18074,17296,778,4.3
CN4601300000000,46,13,"Brown County, SD",2011,20989,20204,785,3.7
CN4601500000000,46,15,"Brule County, SD",2011,2740,2633,107,3.9
CN4601700000000,46,17,"Buffalo County, SD",2011,741,667,74,10
CN4601900000000,46,19,"Butte County, SD",2011,5073,4832,241,4.8
CN4602100000000,46,21,"Campbell County, SD",2011,880,847,33,3.8
CN4602300000000,46,23,"Charles Mix County, SD",2011,4171,3969,202,4.8
CN4602500000000,46,25,"Clark County, SD",2011,1966,1875,91,4.6
CN4602700000000,46,27,"Clay County, SD",2011,7568,7270,298,3.9
CN4602900000000,46,29,"Codington County, SD",2011,15509,14823,686,4.4
CN4603100000000,46,31,"Corson County, SD",2011,1549,1436,113,7.3
CN4603300000000,46,33,"Custer County, SD",2011,4118,3894,224,5.4
CN4603500000000,46,35,"Davison County, SD",2011,11174,10745,429,3.8
CN4603700000000,46,37,"Day County, SD",2011,3078,2883,195,6.3
CN4603900000000,46,39,"Deuel County, SD",2011,2541,2390,151,5.9
CN4604100000000,46,41,"Dewey County, SD",2011,2428,2044,384,15.8
CN4604300000000,46,43,"Douglas County, SD",2011,1771,1701,70,4
CN4604500000000,46,45,"Edmunds County, SD",2011,2380,2303,77,3.2
CN4604700000000,46,47,"Fall River County, SD",2011,3220,3033,187,5.8
CN4604900000000,46,49,"Faulk County, SD",2011,1183,1135,48,4.1
CN4605100000000,46,51,"Grant County, SD",2011,4666,4448,218,4.7
CN4605300000000,46,53,"Gregory County, SD",2011,2183,2085,98,4.5
CN4605500000000,46,55,"Haakon County, SD",2011,1123,1082,41,3.7
CN4605700000000,46,57,"Hamlin County, SD",2011,3129,2994,135,4.3
CN4605900000000,46,59,"Hand County, SD",2011,1882,1821,61,3.2
CN4606100000000,46,61,"Hanson County, SD",2011,1819,1733,86,4.7
CN4606300000000,46,63,"Harding County, SD",2011,829,797,32,3.9
CN4606500000000,46,65,"Hughes County, SD",2011,10076,9720,356,3.5
CN4606700000000,46,67,"Hutchinson County, SD",2011,3822,3680,142,3.7
CN4606900000000,46,69,"Hyde County, SD",2011,793,765,28,3.5
CN4607100000000,46,71,"Jackson County, SD",2011,1398,1296,102,7.3
CN4607300000000,46,73,"Jerauld County, SD",2011,1244,1201,43,3.5
CN4607500000000,46,75,"Jones County, SD",2011,678,657,21,3.1
CN4607700000000,46,77,"Kingsbury County, SD",2011,2907,2782,125,4.3
CN4607900000000,46,79,"Lake County, SD",2011,6255,5953,302,4.8
CN4608100000000,46,81,"Lawrence County, SD",2011,12950,12342,608,4.7
CN4608300000000,46,83,"Lincoln County, SD",2011,27242,26291,951,3.5
CN4608500000000,46,85,"Lyman County, SD",2011,1925,1805,120,6.2
CN4608700000000,46,87,"McCook County, SD",2011,3214,3076,138,4.3
CN4608900000000,46,89,"McPherson County, SD",2011,1175,1124,51,4.3
CN4609100000000,46,91,"Marshall County, SD",2011,2522,2385,137,5.4
CN4609300000000,46,93,"Meade County, SD",2011,13222,12598,624,4.7
CN4609500000000,46,95,"Mellette County, SD",2011,871,817,54,6.2
CN4609700000000,46,97,"Miner County, SD",2011,1307,1251,56,4.3
CN4609900000000,46,99,"Minnehaha County, SD",2011,100479,96100,4379,4.4
CN4610100000000,46,101,"Moody County, SD",2011,4169,3909,260,6.2
CN4610200000000,46,102,"Oglala Lakota County, SD",2011,3754,3238,516,13.7
CN4610300000000,46,103,"Pennington County, SD",2011,53574,51058,2516,4.7
CN4610500000000,46,105,"Perkins County, SD",2011,1586,1520,66,4.2
CN4610700000000,46,107,"Potter County, SD",2011,1251,1186,65,5.2
CN4610900000000,46,109,"Roberts County, SD",2011,5083,4751,332,6.5
CN4611100000000,46,111,"Sanborn County, SD",2011,1347,1292,55,4.1
CN4611500000000,46,115,"Spink County, SD",2011,3525,3383,142,4
CN4611700000000,46,117,"Stanley County, SD",2011,1937,1862,75,3.9
CN4611900000000,46,119,"Sully County, SD",2011,884,851,33,3.7
CN4612100000000,46,121,"Todd County, SD",2011,3403,3120,283,8.3
CN4612300000000,46,123,"Tripp County, SD",2011,3283,3163,120,3.7
CN4612500000000,46,125,"Turner County, SD",2011,4866,4672,194,4
CN4612700000000,46,127,"Union County, SD",2011,7728,7338,390,5
CN4612900000000,46,129,"Walworth County, SD",2011,2385,2222,163,6.8
CN4613500000000,46,135,"Yankton County, SD",2011,11540,11040,500,4.3
CN4613700000000,46,137,"Ziebach County, SD",2011,1071,1004,67,6.3
CN4700100000000,47,1,"Anderson County, TN",2011,35083,31965,3118,8.9
CN4700300000000,47,3,"Bedford County, TN",2011,20862,18479,2383,11.4
CN4700500000000,47,5,"Benton County, TN",2011,7116,6294,822,11.6
CN4700700000000,47,7,"Bledsoe County, TN",2011,4487,3973,514,11.5
CN4700900000000,47,9,"Blount County, TN",2011,61583,56476,5107,8.3
CN4701100000000,47,11,"Bradley County, TN",2011,47320,43049,4271,9
CN4701300000000,47,13,"Campbell County, TN",2011,16089,14176,1913,11.9
CN4701500000000,47,15,"Cannon County, TN",2011,6081,5443,638,10.5
